customerID,ChurnProbability,RiskSegment,Contract,tenure,MonthlyCharges,TotalCharges
4376-KFVRS,1.78,Low Risk,Two year,72,114.05,8468.2
2754-SDJRD,83.74,High Risk,Month-to-month,8,100.15,908.55
9917-KWRBE,6.0,Low Risk,One year,41,78.35,3211.2
0365-GXEZS,30.56,Medium Risk,Month-to-month,18,78.2,1468.75
9385-NXKDA,0.63,Low Risk,Two year,72,82.65,5919.35
4686-UXDML,61.14,High Risk,Month-to-month,21,99.85,1992.55
2227-JRSJX,44.4,Medium Risk,Month-to-month,21,99.15,1956.4
4830-FAXFM,11.57,Low Risk,Month-to-month,19,24.1,439.2
1830-IPXVJ,0.92,Low Risk,Two year,61,19.75,1311.6
4690-LLKUA,34.71,Medium Risk,Month-to-month,17,45.05,770.6
5804-HYIEZ,39.53,Medium Risk,Month-to-month,70,106.05,7554.05
2388-LAESQ,1.68,Low Risk,Two year,72,114.85,8317.95
5533-RJFTJ,19.34,Low Risk,Month-to-month,49,30.2,1453.1
4706-AXVKM,74.83,High Risk,Month-to-month,11,84.8,906.85
0997-YTLNY,11.91,Low Risk,Month-to-month,19,48.8,953.65
7971-HLVXI,1.29,Low Risk,Two year,72,84.5,6130.85
7337-CINUD,1.92,Low Risk,Two year,8,19.5,159.35
1379-FRVEB,62.07,High Risk,Month-to-month,15,91.0,1430.05
4753-PADAS,28.49,Low Risk,One year,67,105.7,6816.95
5701-GUXDC,7.67,Low Risk,One year,26,35.4,978.6
7235-NXZCP,70.44,High Risk,Month-to-month,2,74.85,156.4
0668-OGMHD,27.41,Low Risk,Month-to-month,21,28.5,629.35
2812-REYAT,2.88,Low Risk,One year,49,20.05,923.1
8779-YIQQA,3.24,Low Risk,One year,21,19.8,350.1
9701-CDXHR,17.72,Low Risk,Month-to-month,51,69.15,3649.6
7130-CTCUS,22.32,Low Risk,Month-to-month,16,54.55,825.1
1894-IGFSG,39.86,Medium Risk,Month-to-month,22,89.25,1907.85
0871-URUWO,67.67,High Risk,Month-to-month,13,102.25,1359.0
0057-QBUQH,3.2,Low Risk,Two year,43,25.1,1070.15
9611-CTWIH,72.97,High Risk,Month-to-month,3,89.45,240.45
8058-DMYRU,36.22,Medium Risk,Month-to-month,54,90.05,4931.8
5351-QESIO,49.68,Medium Risk,Month-to-month,1,24.2,24.2
4302-ZYFEL,0.89,Low Risk,One year,69,20.55,1403.1
6134-KWTBV,0.89,Low Risk,Two year,62,23.4,1429.65
2034-GDRCN,75.44,High Risk,Month-to-month,2,90.4,168.2
9544-PYPSJ,20.37,Low Risk,Month-to-month,62,96.1,6019.35
4208-UFFGW,43.23,Medium Risk,Month-to-month,2,44.95,85.15
9537-JALFH,0.53,Low Risk,Two year,69,19.9,1356.7
4415-IJZTP,85.9,High Risk,Month-to-month,1,74.5,74.5
4701-MLJPN,16.11,Low Risk,Month-to-month,31,55.25,1715.65
7515-LODFU,1.12,Low Risk,Two year,69,20.3,1356.3
4927-WWOOZ,83.72,High Risk,Month-to-month,2,91.45,171.45
4067-HLYQI,34.62,Medium Risk,Month-to-month,33,70.4,2406.1
6184-DYUOB,18.72,Low Risk,Month-to-month,3,19.6,55.25
9209-NWPGU,8.88,Low Risk,One year,44,65.4,2774.55
9851-KIELU,77.27,High Risk,Month-to-month,10,110.1,1043.3
3199-XGZCY,73.48,High Risk,Month-to-month,8,75.25,576.7
4226-KKDON,22.15,Low Risk,Month-to-month,8,66.65,520.95
1085-LDWAM,1.02,Low Risk,One year,69,20.35,1442.65
6825-UYPFK,27.76,Low Risk,Month-to-month,23,75.6,1758.6
1767-CJKBA,0.57,Low Risk,Two year,66,25.1,1697.7
7181-BQYBV,85.63,High Risk,Month-to-month,1,102.45,102.45
0178-CIIKR,13.58,Low Risk,Month-to-month,3,19.95,58.0
4256-ZWTZI,32.76,Medium Risk,Month-to-month,5,51.0,286.8
9537-VHDTA,39.93,Medium Risk,Month-to-month,1,51.2,51.2
2754-XBHTB,55.37,Medium Risk,Month-to-month,9,77.65,714.15
5975-BAICR,9.76,Low Risk,One year,36,63.7,2188.5
3301-VKTGC,5.8,Low Risk,One year,68,85.5,5696.6
2877-VDUER,3.46,Low Risk,One year,35,40.9,1383.6
7717-BICXI,0.88,Low Risk,Two year,60,20.55,1205.05
0562-FGDCR,0.28,Low Risk,Two year,72,74.55,5430.65
3705-PSNGL,4.24,Low Risk,One year,45,20.4,930.45
0048-LUMLS,20.17,Low Risk,One year,37,91.2,3247.55
6497-TILVL,18.19,Low Risk,Month-to-month,7,50.7,350.35
2108-YKQTY,27.55,Low Risk,Month-to-month,4,50.7,151.3
3658-KIBGF,61.07,High Risk,Month-to-month,1,54.9,54.9
5482-NUPNA,20.48,Low Risk,Month-to-month,4,60.4,272.15
7410-KTVFV,20.58,Low Risk,Month-to-month,18,49.55,878.35
9033-EOXWV,16.63,Low Risk,One year,12,74.05,872.65
8821-XNHVZ,87.02,High Risk,Month-to-month,1,80.05,80.05
8224-KDLKN,0.29,Low Risk,Two year,72,25.0,1738.9
4825-FUREZ,2.14,Low Risk,Two year,42,20.25,835.5
7534-BFESC,54.86,Medium Risk,Month-to-month,24,76.1,1712.7
9138-EFSMO,14.44,Low Risk,One year,26,78.95,2034.25
4227-OJHAL,7.97,Low Risk,One year,68,73.0,5163.0
7279-NMVJC,3.71,Low Risk,One year,17,19.9,323.15
8591-TKMZH,8.57,Low Risk,Two year,59,111.1,6555.2
9283-LZQOH,51.81,Medium Risk,Month-to-month,13,74.4,896.75
3594-IVHJZ,13.87,Low Risk,Month-to-month,2,20.45,42.45
1945-XISKS,0.94,Low Risk,Two year,67,19.65,1335.2
4359-INNWN,3.23,Low Risk,One year,17,20.05,337.9
7649-SIJJF,0.41,Low Risk,Two year,71,80.1,5585.4
9254-RBFON,21.0,Low Risk,One year,17,98.6,1704.95
0970-ETWGE,86.89,High Risk,Month-to-month,1,89.55,89.55
